paragraph,final_label,confidence,qwen_label,qwen_reasoning,gpt_oss_label,gpt_oss_reasoning
"8. Estimate The center of this circle is the origin. The circle passes through (2, 0). a. Estimate the area of the circle in square units by counting squares. b. Calculate the area of the circle by using 3.14 for π.",NA,CONFIRMED,NA,"The paragraph presents a standard problem set asking students to estimate and calculate the area of a circle. There is no mention of errors, incorrect work, comparisons between methods, or warnings about common mistakes. The content is typical textbook problem-solving without error-focused pedagogy.",NA,"The paragraph simply asks students to estimate and calculate the area of a circle; it contains no error detection, correction, comparison, or warning about common mistakes."
9. Which ratio forms a proportion with 2/4? A 2/4 B 3/4 C 4/6 D 3/2,NA,CONFIRMED,NA,"The paragraph is a standard multiple-choice question asking which ratio forms a proportion with 2/4. It does not involve analyzing errors, comparing student approaches, or warning about common mistakes.",NA,The paragraph is a standard multiple‑choice question asking for a proportion; it contains no error‑focused prompt or warning.
10. Complete this proportion: 6/8 = a/12,NA,CONFIRMED,NA,"The paragraph is a standard problem asking to solve a proportion. There is no mention of errors, incorrect work, comparisons between methods, or common mistakes.",NA,"The sentence is a simple instruction to complete a proportion, with no mention of errors, mistakes, or comparison of student work."
* 11. What is the perimeter of the hexagon at right? Dimensions are in centimeters.,NA,CONFIRMED,NA,"The paragraph is a standard problem asking for the perimeter of a hexagon with given dimensions. It does not present any incorrect work, compare different approaches, explicitly ask to find an error, or warn about common mistakes. It is a typical problem set question.",NA,"The paragraph simply asks for the perimeter of a hexagon; it contains no error identification, correction, or comparison of student work."
Connect Complete the table to answer problems 12–14.,NA,CONFIRMED,NA,"The paragraph is an instruction to complete a table for answering subsequent problems. It does not involve error detection, correction, comparison of methods, or warnings about common mistakes. It is standard textbook content.",NA,"The sentence is a standard instruction to complete a table for later problems, with no mention of errors, mistakes, or comparing student work."
15. Sharon bought a notebook for 40% off the regular price of $6.95. What was the sale price of the notebook?,NA,CONFIRMED,NA,"The paragraph presents a standard math problem asking for the sale price after a discount. There is no mention of errors, incorrect work, conflicting answers, or common mistakes. It is a straightforward problem set without error-focused pedagogy elements.",NA,"The paragraph presents a standard word problem about calculating a sale price, with no mention of errors, comparisons, or warnings."
16. Between which two consecutive whole numbers is √200?,NA,CONFIRMED,NA,"The paragraph presents a standard math problem asking for the square root of 200 to be located between two whole numbers. There is no mention of errors, student work, comparisons, or common mistakes.",NA,"The sentence is a straightforward math question asking for the interval containing √200, with no mention of student errors, comparisons, or error alerts."
* 17. Analyze Compare: (1/2)³ ☐ the probability of 3 consecutive “heads” coin tosses,NA,CONFIRMED,NA,"The paragraph presents a comparison problem between a mathematical expression and a probability scenario without mentioning errors, conflicting student answers, or common mistakes. It is a standard problem set item.",NA,"The paragraph is a simple prompt about calculating a probability, with no mention of errors, student work, or warnings."
18. Estimate Divide 0.624 by 0.05 and round the quotient to the nearest whole number.,NA,CONFIRMED,NA,"The paragraph presents a standard arithmetic problem asking students to estimate a division and round the result. It does not involve error detection, correction, comparison of methods, or warnings about common mistakes.",NA,"The paragraph simply asks the student to estimate a division and round the result, with no mention of errors, mistakes, or comparing student work."
19. Evaluate The prime factorization of one hundred is 2² • 5². The prime factorization of one thousand is 2³ • 5³. Write the prime factorization of one million using exponents.,NA,CONFIRMED,NA,"The paragraph presents a problem set asking students to determine the prime factorization of one million based on given examples of 100 and 1000. It does not include any error detection, correction, or comparison of incorrect work. The task is a standard mathematical exercise without error-focused pedagogy.",NA,"The paragraph simply asks for a calculation of prime factorization without mentioning errors, comparisons, or warnings."
20. A 1-foot ruler broke into two pieces so that one piece was 5 1/4 inches long. How long was the other piece?,NA,CONFIRMED,NA,"The paragraph presents a standard problem-solving question without any reference to errors, incorrect student work, or comparisons between methods. It simply asks for a calculation based on given information.",NA,"The paragraph simply presents a word problem without any mention of errors, corrections, or comparisons."
"22. Connect If each small block has a volume of one cubic centimeter, what is the volume of this rectangular prism?",NA,CONFIRMED,NA,"The paragraph is a standard math problem asking for the volume of a rectangular prism using unit cubes. It does not present any errors to correct, compare different approaches, or warn about common mistakes.",NA,"The paragraph asks a direct volume question with no mention of errors, mistakes, or comparing student work."
23. Three inches is what percent of a foot?,NA,CONFIRMED,NA,"The paragraph presents a standard math problem asking for a percentage calculation. There is no mention of errors, incorrect student work, conflicting approaches, or common mistakes. It is a typical problem set question.",NA,"The sentence is a simple math question asking for a percentage conversion, with no mention of errors, student work, or comparisons."
24. Use the figure on the right to answer a-c. a. What is the area of the shaded rectangle? b. What is the area of the unshaded rectangle? c. What is the combined area of the two rectangles?,NA,CONFIRMED,NA,"The paragraph presents a standard problem set asking for calculations based on a figure. It does not mention any errors, common mistakes, or conflicting student approaches.",NA,"The paragraph asks students to compute areas of rectangles; it contains no mention of errors, mistakes, or comparing student work, so it is standard content."
* 25. Analyze What is the perimeter of the hexagon in problem 24?,NA,CONFIRMED,NA,"The paragraph is a standard problem asking for the perimeter of a hexagon from a previous problem. It does not present any incorrect work, compare different approaches, explicitly state an error to detect, or warn about common mistakes.",NA,"The paragraph asks a standard problem about finding a perimeter, with no mention of errors, mistakes, or comparing student work."
26. Estimate The diameter of each tire on Jan's bike is two feet. The circumference of each tire is closest to which of the following? (Use 3.14 for π.) A 6 ft B 6 ft 3 in. C 6 ft 8 in. D 7 ft,NA,CONFIRMED,NA,"The paragraph presents a standard problem set asking students to estimate the circumference of a bike tire. There is no mention of errors, incorrect student work, comparisons between students, or warnings about common mistakes. It is a typical math problem without error-focused pedagogy elements.",NA,"The paragraph presents a standard multiple‑choice problem asking for a calculation; it contains no error‑focused prompts, named students, or warnings about common mistakes."
* 27. What is the area of this triangle?,NA,CONFIRMED,NA,"The paragraph is a standard problem asking for the area of a triangle without any error-focused elements. There are no named students with incorrect work, no comparison of methods, no explicit error detection tasks, and no common error alerts.",NA,"The text simply asks for the area of a triangle without mentioning any errors, mistakes, or comparisons."
"This table shows the number of miles Celina rode her bike each day during the week. Use this information to answer problems 28-30. 28. If the data were rearranged in order of distance (with 3 miles listed first and 10 miles listed last), then which distance would be in the middle of the list? 29. What was the average number of miles Celina rode each day? * 30. Formulate Write a comparison question that relates to the table, and then answer the question.",NA,CONFIRMED,NA,"The paragraph presents standard problem-solving tasks based on a data table. There is no mention of errors, conflicting approaches, or common mistakes. The questions are straightforward statistical calculations and formulation of a comparison question, which fall under standard textbook content.",NA,"The paragraph presents a data table and asks standard questions about ordering, averaging, and creating a comparison question, with no focus on detecting or correcting errors."
LESSON 107 • Area of Complex Shapes,NA,CONFIRMED,NA,"The paragraph is a lesson title and does not contain any error-focused pedagogy elements such as student errors, comparisons, explicit error detection tasks, or common mistake warnings. It is standard textbook content.",NA,"The text is merely a lesson heading with no mention of errors, student work, or comparisons."
d. Calculation: $12.89 + $9.99,NA,CONFIRMED,NA,"The paragraph presents a straightforward arithmetic problem without any mention of errors, conflicting approaches, or common mistakes. It is a standard calculation task.",NA,"The text simply asks for a calculation and contains no mention of errors, corrections, or comparisons."
g. Measurement: How many pints are in a gallon?,NA,CONFIRMED,NA,"The paragraph is a standard measurement conversion question asking for the number of pints in a gallon. It does not present any incorrect work, compare conflicting approaches, explicitly detect errors, or warn about common mistakes.",NA,"The sentence asks a factual measurement question and contains no student work, error identification, or comparison."
"h. Calculation: 10 × 6, + 4, √, × 3, + 1, √, × 7, + 1, √",NA,CONFIRMED,NA,"The paragraph presents a sequence of mathematical operations without indicating any errors, student work to evaluate, or common mistakes to avoid. It lacks the elements required for error-focused pedagogy categories.",NA,"The text only lists a sequence of calculation steps with no mention of a student's work, error detection, comparison, or warning about common mistakes; it is standard content."
"problem solving Laura has nickels, dimes, and quarters in her pocket. She has half as many dimes as nickels and half as many quarters as dimes. If Laura has four dimes, then how much money does she have in her pocket?",NA,CONFIRMED,NA,"The paragraph presents a standard problem-solving scenario where Laura's coin quantities are given, and the total amount is to be calculated. There is no mention of errors, incorrect work, comparisons between students, or warnings about common mistakes. It is a typical math problem without error-focused pedagogy.",NA,"The paragraph presents a standard word problem about counting coins, with no mention of errors, mistakes, or comparison of student work."
"In Lesson 103 we found the perimeter of complex shapes. In this lesson we will practice finding the area of complex shapes. One way to find the area of a complex shape is to divide the shape into two or more parts, find the area of each part, and then add the areas. Think of how the shape below could be divided into two rectangles.",NA,CONFIRMED,NA,"The paragraph explains a method for finding the area of complex shapes by dividing them into parts. It does not present any errors, compare different approaches, or warn about common mistakes. It is standard instructional content.",NA,"The paragraph only explains a strategy for finding area and asks the reader to consider dividing a shape; it contains no error detection, correction, or comparison of student work."
"Thinking Skill Classify Based on the number of sides and their lengths, what is the geometric name of this figure?",NA,CONFIRMED,NA,"The paragraph is a standard classification question asking for the geometric name of a figure based on its sides and lengths. There is no mention of errors, common mistakes, or contrasting different approaches.",NA,"The paragraph asks a geometry classification question without mentioning errors, mistakes, or comparing student work."
"Solution We will show two ways to divide this shape into two rectangles. We use the skills we learned in Lesson 103 to find that side a is 2 cm and side b is 4 cm. We extend side b with a dashed line segment to divide the figure into two rectangles. The length and width of the smaller rectangle are 3 cm and 2 cm, so its area is 6 cm². The larger rectangle is 7 cm by 4 cm, so its area is 28 cm². We find the combined area of the two rectangles by adding. 6 cm² + 28 cm² = 34 cm² A second way to divide the figure into two rectangles is to extend side a. Extending side a forms a 4-cm by 4-cm rectangle and a 3-cm by 6-cm rectangle. Again we find the combined area of the two rectangles by adding. 16 cm² + 18 cm² = 34 cm² Either way we divide the figure, we find that its area is 34 cm².",NA,CONFIRMED,NA,"The paragraph presents two valid methods for calculating the area of a shape by dividing it into rectangles. It does not highlight errors, compare conflicting answers, or warn about common mistakes. The content is standard instructional material explaining correct approaches.",NA,"The paragraph presents a standard solution describing two methods to find area, without mentioning errors, student work, or warnings."
Thinking Skill Define What does it mean when we say that the shape of a figure is complex? a. Model Draw two ways to divide this figure into two rectangles. Then find the area of the figure each way. b. This trapezoid can be divided into a rectangle and a triangle. Find the area of the trapezoid.,NA,CONFIRMED,NA,"The paragraph includes a definition question and problem-solving tasks about dividing shapes into rectangles and calculating areas. There is no mention of errors, incorrect student work, comparisons between conflicting approaches, or warnings about common mistakes.",NA,"The paragraph asks students to model and compute areas, with no mention of errors, mistakes, or comparing student work."
"1. If the divisor is eight tenths and the dividend is forty-eight hundredths, what is the quotient?",NA,CONFIRMED,NA,"The paragraph presents a standard math problem asking for the quotient of two decimal numbers. There is no mention of errors, incorrect student work, comparisons between methods, or common mistakes. It is a straightforward calculation question.",NA,"The paragraph simply asks a standard division problem with no mention of errors, corrections, or comparisons."
2. The plans for the clubhouse were drawn so that 1 inch equals 2 feet. In the plans the clubhouse was 4 inches tall. The actual clubhouse will be how tall?,NA,CONFIRMED,NA,"The paragraph presents a standard scale conversion problem without any indication of errors, conflicting approaches, or explicit error detection tasks. It is a typical problem set for students to solve using given information.",NA,"The paragraph presents a standard scale conversion problem with no mention of errors, student work, or comparisons."
"3. If 600 roses and 800 tulips were sold, what was the ratio of tulips sold to roses sold?",NA,CONFIRMED,NA,"The paragraph is a standard problem asking for a ratio calculation without any mention of errors, student work to correct, or comparisons between different approaches. It does not contain error-focused pedagogy elements.",NA,"The paragraph asks a straightforward ratio question with no mention of errors, corrections, or comparisons of student work."
4. Conclude What percent of the perimeter of a regular pentagon is the length of one side?,NA,CONFIRMED,NA,"The paragraph is a standard math problem asking for a percentage calculation related to a regular pentagon's perimeter. There is no mention of errors, student work, or contrasting methods, so it does not fit any error-focused category.",NA,"The paragraph asks a standard problem about percent of perimeter; it contains no error focus, named students, or warnings."
* 5. Analyze The mass of a dollar bill is about one gram. A gram is what fraction of a kilogram?,NA,CONFIRMED,NA,"The paragraph presents a standard math problem asking for a unit conversion (gram to kilogram) without any reference to errors, incorrect student work, or common mistakes. It is a straightforward question with no error-focused pedagogy elements.",NA,"The paragraph asks a standard conversion question with no mention of errors, mistakes, or conflicting student work."
* 6. Calculate mentally: a. +15 + -10 b. -15 - -10 c. (+3) + (-5) – (−2) – (+4),NA,CONFIRMED,NA,"The paragraph presents a set of arithmetic problems for mental calculation without any reference to errors, student work, or common mistakes. It is standard problem-solving content.",NA,"The paragraph presents a set of mental calculation exercises without mentioning any errors, student work, or warnings about common mistakes."
7. 10³ – (10² – √100) – 10³ ÷ 100,NA,CONFIRMED,NA,"The paragraph presents a mathematical expression as a problem to solve without any reference to errors, incorrect student work, or comparisons between different approaches. It is standard textbook content.",NA,"The paragraph only presents a mathematical expression with no mention of student work, errors, or warnings, so it is standard content."
* 8. Analyze Complete this proportion: 6/u = 8/1.2,NA,CONFIRMED,NA,"The paragraph presents a standard proportion problem without any reference to errors, incorrect student work, comparisons between methods, or common mistakes. It is a typical exercise asking for a solution, not error detection or correction.",NA,"The text simply asks the reader to complete a proportion; it contains no student error, comparison, or warning about common mistakes."
Connect Complete the table to answer problems 9–11.,NA,CONFIRMED,NA,"The paragraph is a standard instruction to complete a table for answering subsequent problems. It does not involve error detection, correction, comparison of methods, or warnings about common mistakes.",NA,"The sentence is a simple instruction to complete a table for later problems, with no mention of errors, mistakes, or comparing student work."
"15. Conclude If one acute angle of a right triangle measures 55°, then what is the measure of the other acute angle?",NA,CONFIRMED,NA,"The paragraph is a standard math problem asking for the measure of an acute angle in a right triangle. It does not present any student work, errors, or comparisons between methods. There is no explicit focus on error detection or correction.",NA,"The paragraph asks a standard geometry question with no mention of errors, mistakes, or comparison of student work."
16. How many ounces is one half of a pint?,NA,CONFIRMED,NA,"The paragraph is a standard unit conversion question asking for the number of ounces in half a pint. It does not present any errors, compare different approaches, or warn about common mistakes. It is a typical problem set question.",NA,"The paragraph asks a direct conversion question with no mention of errors, mistakes, or comparison of student work."
* 17. Solve and check: 3m + 8 = 44,NA,CONFIRMED,NA,"The paragraph is a standard problem asking to solve and check an equation. It does not involve error detection, correction, comparison of methods, or warnings about common mistakes.",NA,"The sentence simply asks students to solve and verify an equation, with no mention of errors, mistakes, or comparing student work."
18. Write one hundred ten million in expanded notation using exponents.,NA,CONFIRMED,NA,"The paragraph is a standard problem asking to write a number in expanded notation using exponents. There is no mention of errors, student work to correct, or common mistakes to avoid.",NA,"The prompt simply asks for a standard task (writing a number in expanded notation) with no mention of errors, mistakes, or comparing student work."
19. What is the greatest common factor of 30 and 45?,NA,CONFIRMED,NA,"The paragraph is a standard math problem asking for the greatest common factor of two numbers. It does not involve error detection, correction, comparison of methods, or warnings about common mistakes.",NA,"The paragraph simply asks a standard math question without referencing any error, student work, or comparison."
* 20. A square with sides 1 inch long is divided into 1/2-by-1/4-inch rectangles. a. What is the area of each 1/2-by-1/4-in. rectangle? b. What fraction of the square is shaded?,NA,CONFIRMED,NA,"The paragraph presents a standard math problem involving area calculations and fractions without any mention of errors, student work to correct, or comparisons between different approaches. It is typical textbook content.",NA,"The paragraph presents a standard geometry problem without mentioning errors, mistakes, or comparing student work."
21. How many blocks that are 1 foot long on each edge would be needed to fill a cubical box with edges 1 yard long?,NA,CONFIRMED,NA,"The paragraph presents a standard problem asking for a calculation without any mention of errors, incorrect work, or comparisons between different approaches. It does not include error-focused pedagogy elements.",NA,"The paragraph is a standard word problem asking for a calculation; it contains no error-focused prompts, named students, or warnings about common mistakes."
* 23. What is the perimeter of this hexagon?,NA,CONFIRMED,NA,"The paragraph is a standard problem asking for the perimeter of a hexagon without any error-focused elements such as incorrect student work, comparisons, explicit error detection tasks, or common error alerts.",NA,"The sentence simply asks for the perimeter of a hexagon, with no mention of errors, corrections, or comparisons."
* 24. Divide the hexagon at right into two rectangles. What is the combined area of the two rectangles?,NA,CONFIRMED,NA,"The paragraph is a standard problem set asking the reader to divide a hexagon into two rectangles and calculate their combined area. There is no mention of errors, common mistakes, or conflicting approaches.",NA,"The paragraph simply asks a geometry problem without mentioning errors, students, or comparisons."
* 25. This trapezoid has been divided into two triangles. Find the area of the trapezoid by adding the areas of the two triangles.,NA,CONFIRMED,NA,"The paragraph presents a standard problem asking to calculate the area of a trapezoid by summing the areas of two triangles. It does not reference any errors, incorrect work, conflicting answers, or common mistakes. The task is purely computational and instructional.",NA,"The paragraph simply asks the student to compute an area using a described method; it contains no error identification, correction, or warning about common mistakes."
"The table shows the age of the first nine American presidents at the time they were inaugurated. Use the information for problems 26-27. 26. a. What age appears most frequently? b. When the ages are arranged in order from least to greatest, what age appears in the middle? c. Estimate Find the average age at inauguration of the first nine presidents. Round your answer to the nearest whole year. d. Connect Name the mathematical term for the answers to a, b, and c. 27. Represent Choose an appropriate graph and display the data in the table.",NA,CONFIRMED,NA,"The paragraph presents standard problem sets related to data analysis (mode, median, mean, graphing) without any mention of errors, incorrect student work, or common mistakes. It is typical textbook content.",NA,"The paragraph presents data analysis questions (mode, median, mean, terminology) and a graphing task, with no mention of errors, mistakes, or student work to correct."
29. Model Use a compass to draw a circle that has a diameter of 10 cm. a. What is the radius of the circle? b. Calculate the circumference of the circle. (Use 3.14 for π.),NA,CONFIRMED,NA,"The paragraph is a standard problem set asking students to model a circle and calculate its radius and circumference. It does not present any incorrect work, compare different approaches, explicitly detect errors, or warn about common mistakes.",NA,"The paragraph presents a standard geometry task without mentioning any errors, student work, or comparisons."
30. 10 gallons/1 × 31.5 miles/1 gallon,NA,CONFIRMED,NA,"The paragraph presents a mathematical calculation involving unit conversion (gallons to miles) but does not include any error-focused elements such as identifying mistakes, contrasting approaches, or warning about common errors. It is a standard problem setup.",NA,"The text is a simple calculation prompt with no mention of errors, mistakes, or comparison of student work."
g. Measurement: Which is greater 2 liters or 3000 milliliters?,NA,CONFIRMED,NA,"The paragraph presents a straightforward measurement comparison question without any indication of errors, conflicting approaches, or explicit error detection tasks. It is a standard problem set.",NA,"The paragraph asks a direct measurement comparison question with no mention of student errors, mistakes, or contrasting student work."
"h. Calculation: 8 × 8, - 4, ÷ 2, +5, ÷ 5, × 8, -1, ÷ 5, × 2, - 1, ÷ 3",NA,CONFIRMED,NA,"The paragraph lists a sequence of arithmetic operations without any mention of errors, student work to evaluate, or common mistakes to avoid. It appears to be a standard calculation example or problem set instruction.",NA,"The text only lists a sequence of arithmetic operations with no mention of errors, students, or comparison, so it is standard content."
"problem solving If two people shake hands, there is one handshake. If three people shake hands, there are three handshakes. From this table can you predict the number of handshakes with 6 people? Draw a diagram or act it out to confirm your prediction.",NA,CONFIRMED,NA,"The paragraph presents a problem-solving task asking students to predict the number of handshakes for six people based on smaller examples. It does not reference any errors, incorrect work, or common mistakes, nor does it compare different approaches. It is a standard problem set without error-focused elements.",NA,The paragraph presents a standard problem about predicting handshakes and asks students to draw a diagram; it does not involve identifying or correcting errors.
"Math Language Two figures are congruent if one figure has the same shape and size as the other figure. One way to determine whether two figures are congruent is to position one figure ""on top of"" the other. The two triangles below are congruent. As we will see below, triangle ABC can be positioned ""on top of"" triangle XYZ, illustrating that it is congruent to triangle XYZ. By rotating, translating, and reflecting triangle ABC, we could position it on top of triangle XYZ. Then their corresponding parts would be in the same place. ∠A corresponds to ∠X. ∠B corresponds to ∠Y. ∠C corresponds to ∠Z. AB corresponds to XY. BC corresponds to YZ. AC corresponds to XZ. If two figures are congruent, their corresponding parts are congruent. So the measures of the corresponding parts are equal. These triangles are congruent. What is the perimeter of each? Solution We will rotate the triangle on the left so that the corresponding parts are easier to see. Now we can more easily see that the unmarked side on the left-hand triangle corresponds to the 5-inch side on the right-hand triangle. Since the triangles are congruent, the measures of the corresponding parts are equal. So each triangle has sides that measure 3 inches, 4 inches, and 5 inches. Adding, we find that the perimeter of each triangle is 12 inches. 3 in. + 4 in. + 5 in. = 12 in.",NA,CONFIRMED,NA,"The paragraph explains the concept of congruent figures and provides an example solution without mentioning any errors, student mistakes, or conflicting approaches. It is standard instructional content.",NA,"The paragraph explains congruent figures and solves a perimeter problem without mentioning errors, mistakes, or comparing student work."
"Figures that have the same shape but are not necessarily the same size are similar. Three of these four triangles are similar: Triangles I and II are similar. They are also congruent. Remember, congruent figures have the same shape and size. Triangle III is similar to triangles I and II. It has the same shape but not the same size as triangles I and II. Notice that the corresponding angles of similar figures have the same measure. Triangle IV is not similar to the other triangles. Analyze Can we reduce or enlarge Triangle IV to make it match the other triangles in the diagram? Explain.",NA,CONFIRMED,NA,"The paragraph explains the concepts of similar and congruent triangles, provides examples, and asks an analytical question. It does not present errors to detect, compare student approaches, or warn about common mistakes.",NA,"The paragraph explains similarity concepts and asks a conceptual question about resizing Triangle IV, without referencing errors, mistakes, or student work."
"The two triangles below are similar. What is the measure of angle A? Solution We will rotate and reflect triangle ABC so that the corresponding angles are easier to see. We see that angle A in triangle ABC corresponds to the 30° angle in the similar triangle. Since corresponding angles of similar triangles have the same measure, the measure of angle A is 30°.",NA,CONFIRMED,NA,"The paragraph explains a correct method for solving a problem involving similar triangles. It does not present any errors, compare different approaches, or warn about common mistakes. It is standard instructional content.",NA,"The paragraph presents a standard solution to a geometry problem without mentioning any error, student work, or warning about common mistakes."
"Here are two important facts about similar polygons. 1. The corresponding angles of similar polygons are congruent. 2. The corresponding sides of similar polygons are proportional. The first fact means that even though the sides of similar polygons might not have matching lengths, the corresponding angles do match. The second fact means that similar figures are related by a scale factor. The scale factor is a number. Multiplying the side length of a polygon by the scale factor gives the side length of the corresponding side of the similar polygon. The two rectangles below are similar. What is the ratio of corresponding sides? By what scale factor is rectangle ABCD larger than rectangle EFGH? Solution First, we find the ratios of corresponding sides. Side AB: Side EF = 4/2 = 2/1. In all similar polygons, such as these two rectangles, the ratios of corresponding sides are equal. The sides of rectangle ABCD are 2 times larger than the sides of rectangle EFGH. So rectangle ABCD is larger than rectangle EFGH by a scale factor of 2. a. Verify ""All squares are similar."" True or false? b. Verify ""All similar triangles are congruent."" True or false? c. Verify ""If two polygons are similar, then their corresponding angles are equal in measure."" True or false? d. These two triangles are congruent. Which side of triangle PQR is the same length as AB? e. Classify Which of these two triangles appear to be similar? f. These two pentagons are similar. The scale factor for corresponding sides is 3. How long is segment AE? How long is segment IJ?",NA,CONFIRMED,NA,"The paragraph explains concepts about similar polygons and includes example problems and verification questions. There is no mention of errors, incorrect student work, or common mistakes. The content is standard instructional material without error-focused pedagogy.",NA,"The paragraph presents factual information and asks standard verification and calculation questions without presenting student errors, comparisons, or warnings about common mistakes."
"1. The first three prime numbers are 2, 3, and 5. Their product is 30. What is the product of the next three prime numbers?",NA,CONFIRMED,NA,"The paragraph presents a standard math problem asking for the product of the next three prime numbers after 2, 3, and 5. It does not include any error-focused elements such as incorrect student work, conflicting approaches, explicit error detection tasks, or warnings about common mistakes.",NA,"The paragraph presents a standard math problem without any mention of errors, student work, or comparison of approaches."
2. On the map 2 cm equals 1 km. What is the actual length of a street that is 10 cm long on the map?,NA,CONFIRMED,NA,"The paragraph presents a standard math problem asking for a conversion using a scale. There is no mention of errors, incorrect work, comparisons between students, or common mistakes. It is a straightforward problem-solving question.",NA,"The paragraph presents a standard scale conversion problem with no mention of errors, corrections, or comparisons."
3. Between 8 p.m. and 9 p.m. the station broadcasts 8 minutes of commercials. What was the ratio of commercial time to noncommercial time during that hour?,NA,CONFIRMED,NA,"The paragraph presents a standard math problem asking for a ratio calculation. There is no mention of errors, incorrect student work, comparisons between students, or common mistakes. It is a typical problem set without error-focused pedagogy elements.",NA,"The paragraph simply asks a straightforward question about ratio without mentioning errors, mistakes, or comparing student work."
4. a. Classify Which of the following triangles appears to have a right angle as one of its angles? b. In which triangle do all three sides appear to be the same length?,NA,CONFIRMED,NA,"The paragraph presents standard classification questions about triangles (right angle and equilateral) without any mention of errors, corrections, or common mistakes. It is a typical problem set asking students to apply geometric knowledge.",NA,"The paragraph asks students to classify triangles based on their appearance, with no mention of errors, mistakes, or comparing student work."
"* 5. Conclude If the two acute angles of a right triangle are congruent, then what is the measure of each acute angle?",NA,CONFIRMED,NA,"The paragraph presents a standard geometry problem asking for the measure of congruent acute angles in a right triangle. It does not reference any errors, compare different methods, or warn about common mistakes. It is a typical problem-solving question.",NA,"The paragraph asks a standard geometry question without mentioning student errors, comparisons, or common mistakes."
6. Ms. Hernandez is assigning each student in her class one of the fifty U.S. states on which to write a report. What is the probability that Manuela will be assigned one of the 5 states that has coastline on the Pacific Ocean? Express the probability ratio as a fraction and as a decimal.,NA,CONFIRMED,NA,"The paragraph presents a standard probability problem without any elements of error detection, correction, or comparison of different approaches. It asks for a calculation based on given data, which is typical of standard textbook content.",NA,"The paragraph presents a standard probability problem without any mention of errors, corrections, or comparisons of student work."
"12. a. If the spinner is spun once, what is the probability that it will stop on a number less than 4? b. If the spinner is spun 100 times, how many times would it be expected to stop on a prime number?",NA,CONFIRMED,NA,"The paragraph presents standard probability questions asking for calculations without any mention of errors, conflicting student answers, or common mistakes. It is a typical problem set from a textbook.",NA,"The paragraph presents standard probability questions without mentioning errors, corrections, or comparisons of student work."
13. Convert 200 centimeters to meters by completing this multiplication: 200 cm/1 × 1 m/100 cm,NA,CONFIRMED,NA,"The paragraph presents a standard unit conversion problem without any indication of errors, conflicting approaches, or common mistakes. It is a typical exercise in applying a conversion factor.",NA,"The paragraph gives a straightforward conversion instruction with no mention of errors, student work, or comparisons."
"* 16. Represent Create a function table for x and y. In your table, record four pairs of numbers that follow this rule: y is twice x",NA,CONFIRMED,NA,"The paragraph instructs students to create a function table with specific numerical pairs following a rule. There is no mention of errors, common mistakes, or conflicting approaches. It is a standard problem set.",NA,"The paragraph asks students to create a function table and record pairs following a rule, with no mention of errors, mistakes, or comparing student work."
17. Write the fraction 2/3 as a decimal number rounded to the hundredths place.,NA,CONFIRMED,NA,"The paragraph is a standard problem set instruction asking to convert a fraction to a decimal. It does not involve error detection, correction, comparison of methods, or warnings about common mistakes.",NA,"The paragraph is a simple task instruction with no mention of errors, student work, or comparisons."
"18. The Zamoras rent a storage room that is 10 feet wide, 12 feet long, and 8 feet high. How many cube-shaped boxes 1 foot on each edge can the Zamoras store in the room?",NA,CONFIRMED,NA,"The paragraph presents a standard volume calculation problem without any reference to errors, incorrect student work, or common mistakes. It simply asks for the number of cube-shaped boxes that fit in a given space, which is typical textbook content.",NA,"The paragraph presents a standard volume/counting problem with no mention of errors, mistakes, or comparison of student work."
* 19. These two rectangles are similar. a. What is the scale factor from the smaller rectangle to the larger rectangle? b. What is the scale factor from the larger rectangle to the smaller rectangle?,NA,CONFIRMED,NA,"The paragraph presents a standard problem about scale factors between similar rectangles without any mention of errors, incorrect work, or common mistakes. It is a typical math problem asking for calculations, not error detection or correction.",NA,"The paragraph asks for scale factors between similar rectangles without mentioning any errors, mistakes, or comparing student work."
* 21. Calculate mentally: a. +7 + -8 b. -7 + +8 c. -7 + 8 d. -7 - 8,NA,CONFIRMED,NA,"The paragraph presents a set of arithmetic problems for students to solve mentally. There is no mention of errors, incorrect work, conflicting answers, or common mistakes. It is a standard problem set.",NA,"The paragraph presents a set of mental calculation exercises without mentioning any errors, student work, or warnings about common mistakes."
Triangles I and II below are congruent. Refer to the triangles to answer problems 22 and 23. * 22. What is the area of each triangle? * 23. Conclude Name the transformations that would position triangle I on triangle II.,NA,CONFIRMED,NA,"The paragraph presents standard problem sets asking for the area of triangles and identifying transformations. There is no mention of errors, student mistakes, or comparisons between different approaches. The content is typical textbook instruction without error-focused pedagogy.",NA,"The paragraph asks for area and transformations of congruent triangles, with no mention of errors, mistakes, or comparing student work."
* 24. This trapezoid has been divided into a rectangle and a triangle. What is the area of the trapezoid?,NA,CONFIRMED,NA,"The paragraph presents a standard geometry problem asking for the area of a trapezoid divided into a rectangle and triangle. It does not reference any student errors, conflicting approaches, or explicit error detection tasks. The content is a typical problem set without error-focused pedagogy.",NA,"The paragraph simply asks for the area of a trapezoid after describing a decomposition; it contains no error detection, correction, comparison, or warning about common mistakes."
